,Region,Orbital Distance,Orbital Period,Keplerian Ratio,Radius,Day Length,Atm. Pressure,Surface Temp,Surface Gravity,Mass,Satellites,pl_name,Species,Population,Capital,Colony Founded,Population (Orbital Stations),CDEM Garrison,Population (L4 and L5 stations)
621,Milky Way / Caleston Rift / Solveig,0.7 AU,0.6 Earth Years,0.953,"4,433 km",65.0 Earth Hours,Trace,126 °C ,0.8 g,0.384 Earth Masses,1,Surtur,,,,,,,
622,Andromeda / Heleus Cluster / Solminae,2.4 AU,6.8 Earth Years,0.299,"7,658 km",,2.36 atm,-164 °C ,,,,Suuricco,,,,,,,
623,Milky Way / Horse Head Nebula / Pax,,0.2 Earth Years,,"32,285 km",13.4 Earth Hours,,,,,,Svarog,,,,,,,
624,Milky Way / Argos Rho / Hydra,29.66 AU,162.1 Earth Years,0.993,"45,145 km",12.8 Earth Hours,,,,,,Syba,,,,,,,
625,Milky Way / Voyager Cluster / Amazon,,15.1 Earth Years,,"4,645 km",62.6 Earth Hours,0.18 atm,−169 °C ,0.5 g,0.263 Earth Masses,,Sybin,,,,,,,
626,Milky Way / Attican Beta / Hercules,0.6 AU,0.4 Earth Years,1.35,"7,702 km",67.0 Earth Hours,1.18 atm,523 °C ,1.3 g,1.882 Earth Masses,,Syided,,,,,,,
627,Milky Way / Argos Rho / Phoenix,13 AU,36.0 Earth Years,1.695,"56,621 km",13.6 Earth Hours,,,,,,Sylsalto,,,,,,,
628,Milky Way / Hourglass Nebula / Ploitari,2.2 AU,3.3 Earth Years,0.978,"5,391 km",66.8 Earth Hours,1.23 atm,−3 °C ,0.84 g,0.596 Earth Masses,,Synalus,,,,,,,
629,Milky Way / Attican Beta / Theseus,1.05 AU,1.1 Earth Years,0.957,"9,547 km",32.2 Earth Hours,94.51 atm,343 °C ,1.7 g,3.781 Earth Masses,,Sytau,,,,,,,
630,,,,,,,,,,,,,,,,,,,
631,Milky Way / Caleston Rift / Talava,4.0 AU,6.1 Earth Years,1.72,"6,045 km",22.2 Earth Hours,Trace,−1 °C ,0.9 g,0.802 Earth Masses,,Taitus,,,,,,,
632,Milky Way / Omega Nebula / Amada,1.2 AU,1 Earth Year,1.728,"4,312 km",45.8 Earth Hours,0.49 atm,286 °C ,0.5 g,0.227 Earth Masses,,Takkan,,,,,,,
633,Milky Way / Hades Nexus / Hoplos,0.1 AU,0.1 Earth Years,0.1,"3,569 km",0.1 Earth Years (tidal lock),Trace,908 °C ,0.2 g,0.062 Earth Masses,,Talaria,,,,,,,
634,Milky Way / The Shrike Abyssal / Urla Rast,1.6 AU,2.0 Earth Years,1.024,"7,550 km",33.8 Earth Hours,6.15 atm,−25 °C ,1.7 g,2.364 Earth Masses,,Talis Fia,Volus,3.8 billion(Pop. estimates are pre-invasion),Usra Dao,385 CE,,,
635,Milky Way / Hawking Eta / Century,1.16 AU,1.4 Earth Years,0.796,"6,302 km",40.1 Earth Hours,0.34 atm,−30 °C ,0.66 g,0.64 Earth Masses,,Tamahera,,,,,,,
636,Milky Way / Caleston Rift / Aysur,42.2 AU,275.1 Earth Years,0.993,"3,354 km",64.8 Earth Hours,Trace,−216 °C ,0.2 g,0.055 Earth Masses,,Tamgauta,,,,,,,
637,Milky Way / Crescent Nebula / Lusarn,7.8 AU,16.7 Earth Years,1.702,"5,677 km",27.7 Earth Hours,0.84 atm,21 °C ,0.87 g,0.684 Earth Masses,,Tarith,,,,,,,
638,Milky Way / Nubian Expanse / Kalabsha,4.1 AU,8.3 Earth Years,1,"57,010 km",8.8 Earth Hours,,,,,,Tefnut,,33810 spread across five space stations,,,,,
639,Milky Way / Silean Nebula / Phontes,2.0 AU,2.9 Earth Years,0.951,"11,274 km",57.6 Earth Hours,61.04 atm,418 °C ,1.56 g,4.838 Earth Masses,,Telluune,,,,,,,
640,Milky Way / Minos Wasteland / Caestus,3.4 AU,6.3 Earth Years,0.99,"3,321 km",66.4 Earth Hours,15.86 atm,131 °C ,0.2 g,0.054 Earth Masses,,Temerarus,,,,,,,
641,Andromeda / Heleus Cluster / Sephesa,14.4 AU,100.4 Earth Years,0.296,"6,547 km",,0.00 atm,-240 °C ,,,,Tenesta,,,,,,,
642,Milky Way / Pylos Nebula / Kriseroi,1.86 AU,2.6 Earth Years,0.952,"1,411 km",17.9 Earth Hours,Trace,−220 °C ,.09 g,0.004 Earth Masses,,Tenoth,,,,,,,
643,Andromeda / Heleus Cluster / Tafeno,45.9 AU,177.1 Earth Years,3.083,"11,187 km",,0.54 atm,48 °C ,,,,Tentrobiil,,,,,,,
644,Milky Way / Sigurd's Cradle / Mil,4.53 AU,9.66 Earth Years,0.996,"63,374 km",12.9 Earth Hours,,,,,>1,Terapso,,,,,,,
645,Andromeda / Heleus Cluster / Joba,2.8 AU,5.2 Earth Years,0.812,"3,281 km",,23.52 atm,88 °C ,,,,Teroshe,,,,,,,
646,Milky Way / Exodus Cluster / Asgard,1.3 AU,1.5 Earth Years,0.976,"5,261 km",37.3 Earth Hours,0.91 atm,56 °C ,0.95 g,0.642 Earth Masses,,Terra Nova,Human,"4.4 million (2183)4,150,000 (2186)(Pop. estimates are pre-invasion)",Scott,2152,,,
647,,,,,,,,,,,,,,,,,,,
648,Milky Way / Hawking Eta / Chandrasekhar,0.9 AU,1.6 Earth Years,0.285,"63,568 km",16.6 Earth Hours,,,,,,Teshub,,,,,,,
649,Milky Way / Crescent Nebula / Tasale,3.05 AU,5.33 Earth Years,0.999,"1,120 km",17.3 Earth Hours,Trace,−91 °C ,0.157 g,0.005 Earth Masses,,Teukria,,,,,,,
650,Milky Way / Athena Nebula / Parnitha,24.4 AU,120.9 Earth Years,0.994,"26,655 km",15.5 Earth Hours,,,,,>=1,Tevura,,,,,,,
651,Milky Way / Crescent Nebula / Tasale,4.46 AU,9.4 Earth Years,1.004,"55,263 km",15.5 Earth Hours,,,,,,Thail,,,,,,,
652,Milky Way / Hawking Eta / Century,29.4 AU,128.2 Earth Years,1.546,"68,714 km",17.5 Earth Hours,,,,,> 100,Tharopto,,,,,,,
653,Milky Way / Hourglass Nebula / Ploitari,4.1 AU,8.3 Earth Years,1,"3,581 km",28.5 Earth Hours,0.05 atm,−116 °C ,0.56 g,0.175 Earth Masses,,Thegan,,,,,,,
654,Milky Way / Armstrong Nebula / Tereshkova,,25.3 Earth Years,,"5,130 km",25.3 Earth Years,0.49 atm,-141 °C ,0.47 g,0.302 Earth Masses,,Thegeuse,,,,,,,
655,Milky Way / Arcturus Stream / Arcturus,3.5 AU,1.3 Earth Years,25.37,"56,484 km",14.1 Earth Hours,,,,,,Themis,,,,,,,
656,Milky Way / Pylos Nebula / Dirada,25.7 AU,73.1 Earth Years,3.177,"3,602 km",73.1 Earth Years,Trace,−10 °C ,0.33 g,0.104 Earth Masses,,Thenusi,,,,,,,
657,Milky Way / Pylos Nebula / Kriseroi,0.18 AU,0.1 Earth Years,0.583,"10,442 km",69.9 Earth Hours,1.3 atm,−70 °C ,1.3 g,3.459 Earth Masses,,Theonax,,,,,,,
658,Milky Way / Artemis Tau / Knossos,,6.4 Earth Years,,"6,724 km",28.3 Earth Hours,0.68 atm,59 °C ,1.12 g,1.236 Earth Masses,,Therum,Human,"34,000",Nova Yekaterinburg,2167,,,
659,Milky Way / Horse Head Nebula / Fortuna,7.33 AU,31.4 Earth Years,0.399,"5,492 km",69.0 Earth Hours,17.11 atm,−134 °C ,0.7 g,0.515 Earth Masses,,Therumlon,,,,,,,
660,Milky Way / Horse Head Nebula / Strenuus,,173.4 Earth Years,,"53,520 km",15.5 Earth Hours,,,,,,Thesalgon,,,,,,,
661,Milky Way / Armstrong Nebula / Hong,,84.4 Earth Years,,"65,976 km",14.0 Earth Hours,,,,,> 1,Theshaca,,,,,,,
662,Milky Way / Athena Nebula / Parnitha,0.94 AU,0.9 Earth Years,1.025,"5,940 km",27.6 Earth Hours,0.96 atm,25 °C ,1.1 g,0.947 Earth Masses,0,Thessia,Asari,5.5 billion,,,"33,000(Pop. estimates are pre-invasion)",,
663,Milky Way / Argos Rho / Hydra,5.45 AU,12.8 Earth Years,0.988,"60,774 km",11.8 Earth Hours,,,,,,Theyar,,,,,,,
664,Milky Way / Athena Nebula / Orisoni,1 AU,1 Earth Year,1,"6,039 km",46.9 Earth Hours,Trace,55 °C ,0.95 g,0.845 Earth Masses,,Thissioni,,,,,,,
665,Milky Way / Serpent Nebula / Boltzmann,3.6 AU,6.8 Earth Years,1.009,"3,247 km",34.2 Earth Hours,1.88 atm,−5 °C ,0.2 g,0.051 Earth Masses,,Thooft,,,,,,,
666,Milky Way / Caleston Rift / Solveig,1.5 AU,1.8 Earth Years,1.042,"35,957 km",11 Earth Hours,,,,,9,Thrivaldi,,,,,,,
667,Milky Way / Omega Nebula / Batalla,1.1 AU,1.3 Earth Years,0.788,"11,993 km",51.7 Earth Hours,2.86 atm,32 °C ,6.7 g,23.514 Earth Masses,,Thunawanuro,Elcor,"3,769,400 (2185)3.8 million (2186)",Nurhemathun,2035,,,
668,Milky Way / Hourglass Nebula / Sowilo,3.0 AU,5.2 Earth Years,0.999,"57,287 km",18.8 Earth Hours,,,,,,Thurisaz,,,,,,,
669,Andromeda / Heleus Cluster / Govorkam,15.9 AU,71.2 years,,"11,450 km",,0.00 atm,-210 °C ,,,,Thy'vernos,,,,,,,
670,Andromeda / Heleus Cluster / Nalesh,2.4 AU,2.8 Earth Years,1.763,"1,622 km",,54.88 atm,818 °C ,,,,Tijorana,,,,,,,
671,,,,,,,,,,,,,,,,,,,
672,Andromeda / Heleus Cluster / Inalaara,8.9 AU,26.6 Earth Years,0.996,"2,841 km",,0.00 atm,-165 °C ,,,,Tobonoor,,,,,,,
673,,,,,,,,,,,,,,,,,,,
674,Milky Way / The Shrike Abyssal / Xe Cha,2.1 AU,3.0 Earth Years,1.029,"6,930 km",19.8 Earth Hours,1.86 atm,18 °C ,1.3 g,1.523 Earth Masses,,Tosal Nym,,,,,,,
675,Milky Way / Nimbus Cluster / Pelion,2.3 AU,3.5 Earth Years,0.993,"7,682 km",29.7 Earth Hours,0.76 atm,-42 °C ,0.95 g,1.368 Earth Masses,,Trategos,Asari,,,,,,
676,Milky Way / Armstrong Nebula / Hong,,238.8 Earth Years,,"1,402 km",30.2 Earth Hours,0.04 atm,-211 °C ,0.1 g,0.005 Earth Masses,,Treagir,,,,,,,
677,Milky Way / Hades Gamma / Antaeus,1.0 AU,1.1 Earth Years,0.826,"5,489 km",41.8 Earth Hours,0.84 atm,8 °C ,0.86 g,0.632 Earth Masses,2,Trebin,,,,,,,
678,Milky Way / Horse Head Nebula / Strenuus,,74.9 Earth Years,,"1,163 km",36.7 Earth Hours,0.00 atm,-147 °C ,0.1 g,0.003 Earth Masses,,Trelyn,,,,,,,
679,Milky Way / Artemis Tau / Sparta,,1.0 Earth Year,,"1,528 km",1.0 Earth Years,0.00 atm,55 °C ,0.1 g,0.006 Earth Masses,,Tremanre,,,,,,,
680,Milky Way / Voyager Cluster / Amazon,,33.4 Earth Years,,"61,266 km",12.5 Earth Hours,,,,,,Tremar,,,,,,,
681,Milky Way / Hades Gamma / Cacus,51.75 AU,286.7 Earth Years,1.686,"42,211 km",12.8 Earth Hours,,,,,,Treyarmus,,,,,,,
682,Milky Way / Hades Nexus / Hoplos,2.0 AU,2.8 Earth Years,1.02,"6,905 km",27.6 Earth Hours,1.4 atm,27 °C ,1.1 g,1.28 Earth Masses,,Trident,Human,"6,800,000",New Cousteau,2144 CE,,,
683,Milky Way / The Phoenix Massing / Chomos,0.9 AU,0.9 Earth Years,0.9,"59,031 km",16.0 Earth Hours,,,,,3,Trigestis,,,,,,,
684,Milky Way / Sigurd's Cradle / Lenal,4.8 AU,9.6 Earth Years,1.2,"8,287 km",28.8 Earth Hours,0.41 atm,20 °C ,0.88 g,1.475 Earth Masses,,Triginta Petra,Turian,"35,500(All pop. estimates are pre-invasion)",Licitron,2120,,,
685,Milky Way / Athena Nebula / Ialessa,10 AU,31.7 Earth Years,0.995,"1,905 km",59.4 Earth Hours,Trace,-87 °C ,.25 g,0.022 Earth Masses,,Trikalon,,,,,,,
686,Milky Way / Hades Nexus / Hekate,4.8 AU,10.5 Earth Years,1.003,"27,206 km",18.7 Earth Hours,,,,,14,Triodia,,,,,,,
687,Milky Way / Athena Nebula / Vernio,10.8 AU,27.3 Earth Years,1.69,"52,103 km",11.3 Earth Hours,,,,,>1,Tritogenith,,,,,,,
688,Andromeda / Heleus Cluster / Govorkam,0.3 AU,0.2 years,,"10,851 km",,0.00 atm,243 °C ,,,,Trobror,,,,,,,
689,,,,,,,,,,,,,,,,,,,
690,Milky Way / Krogan DMZ / Aralakh,5.3 AU,16.7 Earth Years,0.534,"8,293 km",21.4 Earth Hours,1.1 atm,72 °C (36 °C in shrouded areas),1.14 g,1.913 Earth Masses,,Tuchanka,Krogan,2.1 billion,Urdnot (since 2183),,,"2,400 (in orbital battlestations)",
691,Milky Way / Krogan DMZ / Nith,108.7 AU,293.9 Earth Years,14.869,"5,204 km",59.7 Earth Hours,0.54 atm,"1,036 °C ",0.55 g,0.363 Earth Masses,,Tula,,,,,,,
692,Milky Way / Hourglass Nebula / Faryar,1.8 AU,2.4 Earth Years,1.013,"10,772 km",35.5 Earth Hours,0.03 atm,−31 °C ,5.1 g,14.44 Earth Masses,,Tunfigel,,,,,,,
693,Milky Way / Kepler Verge / Herschel,,85.8 Earth Years,,"11,539 km",42.4 Earth Hours,2.0 atm,242 °C ,1.9 g,6.173 Earth Masses,,Tungel,,,,,,,
694,Andromeda / Heleus Cluster / Kindrax,1.9 AU,2.7 Earth Years,0.941,"4,822 km",,0.03 atm,-39 °C ,,,,Tunharaset,,,,,,,
695,Milky Way / Hades Gamma / Farinata,5.65 AU,3.2 Earth Years,17.613,"42,418 km",9.1 Earth Hours,,,,,7,Tunshagon,,,,,,,
696,Milky Way / Argos Rho / Phoenix,19.01 AU,63.8 Earth Years,1.688,"11,867 km",69.7 Earth Hours,3.12 atm,21 °C ,1.1 g,3.78 Earth Masses,,Tuntau,,,,,,,
697,,,,,,,,,,,,,,,,,,,
698,Andromeda / Heleus Cluster / Bosavay,134.6 AU,369.6 Earth Years,17.851,"39,120 km",,1.80 atm,,,,,Tyfrondra,,,,,,,
699,Milky Way / Exodus Cluster / Asgard,4.0 AU,8.05 Earth Years,0.988,"6,332 km",46.2 Earth Hours,0.8 atm,−73 °C ,0.95 g,0.929 Earth Masses,,Tyr,Human,"47,000 (2183)44,000 (2186)(Pop. estimates are pre-invasion)",Kaldidalur,2156,,,
700,Milky Way / Petra Nebula / Vetus,0.65 AU,0.5 Earth Years,1.099,"5,864 km",23.2 Earth Hours,21.61 atm,414 °C ,0.473 g,0.397 Earth Masses,,Tyre,,,,,,,
701,,,,,,,,,,,,,,,,,,,
702,Milky Way / Local Cluster / Sol,19.2 AU,84.3 Earth Years,0.996,"25,559 km",17.3 Earth Hours,,,,14.5 Earth Masses,27,Uranus,Human,"371,000",Sakharov Station,,,,
703,Milky Way / Omega Nebula / Sahrabarik,0.8 AU,1.3 Earth Years,0.303,"72,512 km",19.2 Earth Hours,,"1,300 °C ",,,many,Urdak,,,,,,,
704,Milky Way / Perseus Veil / Tikkun,1.1 AU,1.3 Earth Years,0.788,"1,440 km",23.9 Earth Hours,Trace,-33 °C ,0.165 g,0.008 Earth Masses,,Uriyah,,,,,,,
705,Milky Way / Viper Nebula / Bahak,4.3 AU,8.8 Earth Years,1.027,"71,610 km",13.7 Earth Hours,,,,,,Urmola,,,,,,,
706,Milky Way / Hourglass Nebula / Sowilo,0.25 AU,0.1 Earth Years,1.563,"9,266 km",51.0 Earth Hours,78.58 atm,635 °C ,2.1 g,4.399 Earth Masses,,Uruz,,,,,,,
707,Milky Way / Omega Nebula / Arinlarkan,4.0 AU,6.1 Earth Years,1.72,"6,050 km",49.4 Earth Hours,1.2 atm,40 °C ,0.8 g,0.714 Earth Masses,,Utha,,,,,,,
708,Milky Way / Ninmah Cluster / Mulla Xul,1.7 AU,2.5 Earth Years,0.786,"6,865 km",64.2 Earth Hours,2.2 atm,10 °C ,0.82 g,0.943 Earth Masses,,Utukku,,,,,,,
709,Milky Way / Omega Nebula / Kairavamori,2.7 AU,5.0 Earth Years,0.787,"6,529 km",57.5 Earth Hours,Trace,−126 °C ,1.1 g,1.144 Earth Masses,,Uwan Oche,,,,,,,
710,Milky Way / Kite's Nest / Untrel,18 AU,58.7 Earth Years,1.693,"37,445 km",14 Earth Hours,,,,,,Uza,,,,,,,
711,Milky Way / Pylos Nebula / Kriseroi,0.31 AU,0.3 Earth Years,0.331,"31,982 km",15.2 Earth Hours,,,,,37,Uzin,,,,,,,
712,Milky Way / Eagle Nebula / Malgus,0.3 AU,0.2 Earth Years,0.675,"74,137 km",12.4 Earth Hours,,,,,> 1,Uzin,,,,,,,
713,Andromeda / Heleus Cluster / Meos,475.6 AU,"2,458.0 Earth Years",17.806,"10,690 km",,1.96 atm,477 °C ,,,,Vael,,,,,,,
714,Milky Way / Kite's Nest / Vular,13.3 AU,44.4 Earth Years,1.193,"10,925 km",41.4 Earth Hours,Trace,-192 °C ,1.39 g,4.048 Earth Masses,,Vana,Batarian,,,,,,
715,Milky Way / Krogan DMZ / Nith,195.6 AU,709.6 Earth Years,14.862,"36,670 km",18 Earth Hours,,,,,,Vard,,2072,,,,,
716,Milky Way / Argos Rho / Hydra,0.5 AU,0.4 Earth Years,0.781,"9,593 km",19.4 Earth Hours,1.3 atm,503 °C ,1.2 g,2.7 Earth Masses,,Varmalus,,,,,,,
717,Milky Way / Omega Nebula / Kairavamori,1.4 AU,1.9 Earth Years,0.76,"6,352 km",18.0 Earth Hours,0.77 atm,−35 °C ,1.0 g,0.984 Earth Masses,,Vatar,,,,,,,
718,Milky Way / Krogan DMZ / Aralakh,17.8 AU,57.8 Earth Years,1.688,"73,944 km",12.1 Earth Hours,,,,,> 1,Vaul,,,,,,,
719,Milky Way / Argos Rho / Phoenix,24.7 AU,94.5 Earth Years,1.687,"3,379 km",68.3 Earth Hours,0.27 atm,−154 °C ,0.28 g,0.078 Earth Masses,,Vebinok,,,,,,,
720,Milky Way / Ismar Frontier / Aquila,1.1 AU,1.2 Earth Years,0.924,"6,443 km",39.1 Earth Hours,0.79 atm,58 °C ,0.82 g,0.831 Earth Masses,,Vecchio,,,,,,,
721,Milky Way / Argos Rho / Gorgon,99.45 AU,234.7 Earth Years,17.856,"69,833 km",234.7 Earth Years,,,,,,Vectra,,,,,,,
722,Milky Way / Horse Head Nebula / Pax,24.5 AU,136.3 Earth Years,0.792,"7,547 km",62.0 Earth Hours,0.07 atm,-220 °C ,1.7 g,2.36 Earth Masses,,Veles,,,,,,,
723,Milky Way / Serpent Nebula / Boltzmann,7.1 AU,19.0 Earth Years,0.991,"61,755 km",14.0 Earth Hours,,,,,,Veltman,Human,,,,,,
724,Milky Way / The Shrike Abyssal / Xe Cha,4.6 AU,9.9 Earth Years,0.993,"64,826 km",11.9 Earth Hours,,,,,35,Vem Osca,,,,,,,
725,Milky Way / Hades Gamma / Antaeus,10.38 AU,37.5 Earth Years,0.795,"10,314 km",36.3 Earth Hours,1.0 atm,−61 °C ,1.1 g,2.855 Earth Masses,,Vemal,,,,,,,
726,Milky Way / Shadow Sea / Iera,0.7 AU,0.6 Earth Years,0.953,"10,659 km",26.1 Earth Hours,,,,,,Venture,,,,,,,
727,Milky Way / Local Cluster / Sol,0.72 AU,224.7 Earth Days,,"6,052 km",243 Earth Days,90 atm,465 °C ,0.88 g,0.786 Earth Masses,,Venus,Human,800 (aerostat habitats),,,,,
728,Milky Way / Kite's Nest / Harsa,5.4 AU,12.6 Earth Years,0.992,"53,150 km",11.4 Earth Hours,,,,,>1,Verush,,,,,,,
729,Milky Way / Hades Gamma / Plutus,56.05 AU,239.2 Earth Years,3.078,"78,204 km",10.0 Earth Hours,,,,,,Veyaria,,,,,,,
730,Milky Way / Ismar Frontier / Faia,3.0 AU,5.2 Earth Years,0.999,"1,381 km",28.4 Earth Hours,Trace,−150 °C ,0.11 g,0.005 Earth Masses,,Viantel,,"10,400",None; largest port is Kyleios Station 04,,,,
731,Andromeda / Heleus Cluster / Eriksson,0.8 AU,0.7 Earth Years,1.045,"3,833 km",,81.2 atm,671 °C ,,,,Vinland,,,,,,,
732,Andromeda / Heleus Cluster / Tecunis,9.9 AU,7.4 Earth Years,17.719,"18,232 km",,1.07 atm,,,,,Vinvaiko,,,,,,,
733,Milky Way / Pylos Nebula / Dirada,222.2 AU,"1,860.4 Earth Years",3.17,"26,566 km",12.7 Earth Hours,,,,,many,Vioresa,,,,,,,
734,Milky Way / Minos Wasteland / Fortis,0.6 AU,0.5 Earth Years,0.864,"8,162 km",44.4 Earth Hours,106.22 atm,778 °C ,2.1 g,3.414 Earth Masses,,Vir,,,,,,,
735,,,,,,,,,,,,,,,,,,,
736,Milky Way / Sentry Omega / Hoc,,9.2 Earth Years,,"6,440 km",22.3 Earth Days,0.9 atm,32 °C ,0.86 g,0.87 Earth Masses,,Virmire,,,,,,,
737,,,,,,,,,,,,,,,,,,,
738,Andromeda / Heleus Cluster / Nol,14.8 AU,57.1 Earth Years,0.994,"8,740 km",,1.42 atm,-40 °C ,,,1,Voeld,Angara,,Estraaja,,,,
739,Milky Way / Hades Nexus / Pamyat,8.5 AU,24.8 Earth Years,0.999,"1,705 km",68.2 Earth Hours,3.75 atm,−59 °C ,0.1 g,0.007 Earth Masses,2,Volkov,Human,"3,800",,,,,
740,Milky Way / Ismar Frontier / Aquila,2.1 AU,3.0 Earth Years,1.029,"11,177 km",26.8 Earth Hours,0.83 atm,−10 °C ,3.3 g,10.059 Earth Masses,,Volturno,,,,,,,
741,Milky Way / Nimbus Cluster / Mesana,11.5 AU,43.7 Earth Years,0.796,"22,972 km",14.8 Earth Hours,,,,,>1,Vylius,,,,,,,
742,Milky Way / Sigurd's Cradle / Skepsis,0.04 AU,11 Earth Days,,"39,459 km",11 Earth Days,,,,,,Wallace,,,,,,,
743,Andromeda / Heleus Cluster / Togessan,0.9 AU,0.9 Earth Years,0.9,"5,025 km",,0.00 atm,72 °C ,,,,Waoge,,,,,,,
744,Milky Way / Shadow Sea / Iera,4.1 AU,8.3 Earth Years,1,"5,728 km",28.6 Earth Hours,,−116 °C ,0.8 g,0.64 Earth Masses,12,Watchman,,,,,,,
745,Milky Way / Sigurd's Cradle / Skepsis,2.1 AU,3.0 Earth Years,1.029,"6,733 km",37.8 Earth Hours,0.6 atm,−18 °C (mean) 25 °C (habitable zone),1.2 g,1.327 Earth Masses,1,Watson,Human,,,,,,
746,Milky Way / Aethon Cluster / Nura,6.8 AU,17.7 Earth Years,1.004,"62,522 km",16.4 Earth Hours,,,,,>1,Welm Urun,,,,,,,
747,Milky Way / Hourglass Nebula / Faryar,11.8 AU,40.6 Earth Years,0.997,"1,574 km",59.3 Earth Hours,0.00 atm,−178 °C ,0.1 g,0.006 Earth Masses,,Wenrum,,,,,,,
748,Milky Way / Horse Head Nebula / Fortuna,13.93 AU,82.2 Earth Years,0.4,"3,198 km",32.5 Earth Hours,0.03 atm,-237 °C ,0.2 g,0.05 Earth Masses,,Wentania,,,,,,,
749,Andromeda / Heleus Cluster / Rohvir,4.4 AU,16.9 Earth Years,0.298,"9,769 km",,1.86 atm,-34 °C ,,,,Werius,,,,,,,
750,Milky Way / Styx Theta / Erebus,,9.9 Earth Years,,"71,541 km",9.2 Earth Hours,,,,,,Wermani,,,,,,,
751,Milky Way / Serpent Nebula / Boltzmann,0.85 AU,0.8 Earth Years,0.96,"7,894 km",60.5 Earth Hours,2.35 atm,165 °C ,1.9 g,2.889 Earth Masses,,Wheeler,,,,,,,
752,Milky Way / Eagle Nebula / Malgus,0.6 AU,0.5 Earth Years,0.864,"5,999 km",30.1 Earth Hours,Trace,56 °C ,0.9 g,0.79 Earth Masses,,Wrill,,,,,,,
753,Milky Way / Argos Rho / Gorgon,76.4 AU,158.0 Earth Years,17.863,"6,959 km",158.0 Earth Years,0.44 atm,"1,157 °C ",0.66 g,0.78 Earth Masses,,Wuo,,,,,,,
754,Milky Way / Hades Gamma / Cacus,13.03 AU,36.1 Earth Years,1.698,"2,236 km",42.1 Earth Hours,0.00 atm,−117 °C ,0.19 g,0.023 Earth Masses,,Xamarri,,,,,,,
755,Milky Way / Exodus Cluster / Utopia,101.7 AU,"1,029.9 Earth Years",0.992,"3,730 km",69.8 Earth Hours,0.19 atm,-216 °C ,0.3 g,0.102 Earth Masses,,Xanadu,,,,,,,
756,Milky Way / Attican Beta / Hercules,5.35 AU,9.5 Earth Years,1.697,"3,537 km",64.9 Earth Hours,0.37 atm,388 °C ,0.39 g,0.119 Earth Masses,>1,Xathorron,,,,,,,
757,Milky Way / Horse Head Nebula / Strenuus,,97.3 Earth Years,,"5,756 km",21.8 Earth Hours,0.79 atm,−131 °C ,0.8 g,0.647 Earth Masses,,Xawin,,,,,,,
758,Milky Way / The Shrike Abyssal / Thal,5.4 AU,18.1 Earth Years,0.481,"74,616 km",16.4 Earth Hours,,,,,>2,Xerceo,,,,,,,
759,Milky Way / Crescent Nebula / Lusarn,15.6 AU,47.4 Earth Years,1.69,"30,054 km",13.7 Earth Hours,,,,,1,Xetic,,,,,,,
760,Milky Way / Nubian Expanse / Kalabsha,2.0 AU,2.8 Earth Years,1.02,"6,501 km",69.6 Earth Hours,1.8 atm,34 °C (temperate zone),1.1 g,1.134 Earth Masses,,Yamm,,488504,New Karnak,2170,,,
761,Milky Way / Aethon Cluster / Esori,1.6 AU,2.0 Earth Years,1.024,"11,460 km",37.9 Earth Hours,133.1 atm,325 °C ,1.45 g,4.647 Earth Masses,,Yan Tao,,,,,,,
762,,,,,,,,,,,,,,,,,,,
763,Milky Way / Silean Nebula / Loropi,38.3 AU,164.1 Earth Years,2.086,"2,601 km",31.5 Earth Hours,Trace,−100 °C ,0.47 g,0.078 Earth Masses,,Yasilium,,,,,,,
764,Milky Way / Arcturus Stream / Euler,2.2 AU,2.7 Earth Years,1.461,"2,943 km",64.9 Earth Hours,Trace,−27 °C ,,,,Yukawa,,,,,,,
765,Milky Way / Viper Nebula / Bahak,2.4 AU,3.7 Earth Years,1.01,"1,769 km",63.5 Earth Hours,Trace,-67 °C ,0.1 g,0.008 Earth Masses,,Yunaca,,,,,,,
766,Milky Way / Horse Head Nebula / Strenuus,,5.8 Earth Years,,"5,905 km",55.2 Earth Hours,2.1 atm,68 °C ,0.8 g,0.681 Earth Masses,,Yunthorl,,,,,,,
767,Milky Way / The Shrike Abyssal / Xe Cha,0.7 AU,0.9 Earth Years,0.423,"7,594 km",70.0 Earth Hours,0.0 atm,94 °C ,1.5 g,2.111 Earth Masses,,Zada Ban,Volus,"22,500 (in orbital stations)",None (largest station is Dolo Station),2154,,,
768,Milky Way / Pangaea Expanse / Refuge,,33.8 Earth Years,,"30,488 km",12.2 Earth Hours,,,,,,Zafe,,,,,,,
769,Milky Way / Armstrong Nebula / Grissom,,266.8 Earth Years,,"6,729 km",51.5 Earth Hours,0.32 atm,959 °C ,0.61 g,0.674 Earth Masses,1,Zaherux,,,,,,,
770,,,,,,,,,,,,,,,,,,,
771,Milky Way / Artemis Tau / Knossos,,33.9 Earth Years,,"4,572 km",45.6 Earth Hours,0.40 atm,-71 °C ,0.4 g,0.204 Earth Masses,,Zakros,,,,,,,
772,Milky Way / Hourglass Nebula / Ploitari,1.9 AU,2.6 Earth Years,1.015,"6,619 km",53.6 Earth Hours,0.38 atm,−16 °C ,1.2 g,1.283 Earth Masses,,Zanethu,,,,,,,
773,Milky Way / Attican Beta / Hercules,27.85 AU,113.1 Earth Years,1.689,"52,290 km",17.2 Earth Hours,,,,,>1,Zatorus,,,,,,,
